route_index,trip_id,physical_vehicle_id,vehicle_type,stop_index,service_node_id,customer_id,earliest_min,latest_min,arrival_min,arrival_time,wait_min,late_min,service_start_min,departure_min,departure_time,load_before_service_kg,load_after_service_kg,penalty_cost
99,T0099,F1-002,F1,1,73,53,1079.0,1132.0,1110.1243715173862,18:30,0.0,0.0,1110.1243715173862,1130.1243715173862,18:50,2321.281966666667,0.0,0.0
100,T0100,F1-001,F1,1,113,68,1111.0,1188.0,1183.7562069118276,19:44,0.0,0.0,1183.7562069118276,1203.7562069118276,20:04,2471.6624666666667,0.0,0.0
101,T0101,F1-003,F1,1,114,68,1111.0,1188.0,1167.2957756416743,19:27,0.0,0.0,1167.2957756416743,1187.2957756416743,19:47,2471.6624666666667,0.0,0.0
102,T0102,F1-008,F1,1,115,68,1111.0,1188.0,1162.247937894724,19:22,0.0,0.0,1162.247937894724,1182.247937894724,19:42,2471.6624666666667,0.0,0.0
103,T0103,E1-004,E1,1,112,67,1132.0,1216.0,1211.8597493444286,20:12,0.0,0.0,1211.8597493444286,1231.8597493444286,20:32,2860.4382,0.0,0.0
104,T0104,E1-002,E1,1,57,47,1135.0,1195.0,1194.229358691666,19:54,0.0,0.0,1194.229358691666,1214.229358691666,20:14,2784.5018,0.0,0.0
105,T0105,E1-010,E1,1,99,62,1151.0,1201.0,1196.0270059503446,19:56,0.0,0.0,1196.0270059503446,1216.0270059503446,20:16,2934.7648000000004,0.0,0.0
106,T0106,F1-017,F1,1,100,62,1151.0,1201.0,1151.0,19:11,0.0,0.0,1151.0,1171.0,19:31,2934.7648000000004,0.0,0.0
107,T0107,F1-026,F1,1,101,62,1151.0,1201.0,1151.0,19:11,0.0,0.0,1151.0,1171.0,19:31,2934.7648000000004,0.0,0.0
108,T0108,E1-006,E1,1,121,72,1153.0,1235.0,1200.638153819129,20:01,0.0,0.0,1200.638153819129,1220.638153819129,20:21,2725.3232,0.0,0.0
109,T0109,F1-027,F1,1,3,4,1169.0,1237.0,1169.0,19:29,0.0,0.0,1169.0,1189.0,19:49,2977.0965,1533.5344,0.0
109,T0109,F1-027,F1,2,119,71,1159.0,1245.0,1237.0971292579452,20:37,0.0,0.0,1237.0971292579452,1257.0971292579452,20:57,1533.5344,0.0,0.0
110,T0110,F1-006,F1,1,120,71,1159.0,1245.0,1244.7791403209517,20:45,0.0,0.0,1244.7791403209517,1264.7791403209517,21:05,1533.5344,0.0,0.0
111,T0111,E1-009,E1,1,27,28,1167.0,1235.0,1227.1967328427077,20:27,0.0,0.0,1227.1967328427077,1247.1967328427077,20:47,1628.6557500000001,0.0,0.0
112,T0112,E1-008,E1,1,16,10,1180.0,1229.0,1226.622335702438,20:27,0.0,0.0,1226.622335702438,1246.622335702438,20:47,1879.9925,0.0,0.0
113,T0113,F1-011,F1,1,129,78,1194.0,1255.0,1254.9995684803005,20:55,0.0,0.0,1254.9995684803005,1274.9995684803005,21:15,1882.391,0.0,0.0
114,T0114,F1-010,F1,1,63,50,1209.0,1258.0,1254.8399364316815,20:55,0.0,0.0,1254.8399364316815,1274.8399364316815,21:15,2650.7700333333332,0.0,0.0
115,T0115,F1-019,F1,1,64,50,1209.0,1258.0,1237.6437176780232,20:38,0.0,0.0,1237.6437176780232,1257.6437176780232,20:58,2650.7700333333332,0.0,0.0
116,T0116,E1-007,E1,1,65,50,1209.0,1258.0,1275.2897733573434,21:15,0.0,17.289773357343392,1275.2897733573434,1295.2897733573434,21:35,2650.7700333333332,0.0,14.408144464452828
