route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_sequence,customer_sequence,depart_min,depart_time,return_min,return_time,total_weight_kg,total_volume_m3,total_distance_km,fixed_cost,energy_cost,carbon_cost,penalty_cost,total_cost
15,T0015,F1-005,F1,94,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
16,T0016,F1-006,F1,95,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
17,T0017,F1-007,F1,41->38,38->36,543.4986512331809,09:03,1029.8632469516947,17:10,2916.35995,9.22115,139.9558557061306,400.0,331.98435143333586,72.22295571819438,80.30444620082156,884.5117533523518
18,T0018,F1-008,F1,35->31,33->31,566.8264009617309,09:27,1118.167034321635,18:38,2784.4735333333333,6.528243333333334,132.54538992448119,400.0,317.6399653960674,69.1023449029513,89.88060021541783,876.6229105144366
19,T0019,E1-002,E1,10,8,682.7209402766069,11:23,851.0599471688704,14:11,2937.388405,9.006755,66.0548965441108,0.0,43.35988787974178,8.609846029291408,73.52122034531656,125.49095425434975
20,T0020,E1-008,E1,11,8,706.3464060817935,11:46,858.6164298779064,14:19,2937.388405,9.006755,66.0548965441108,0.0,43.290426066012714,8.5960532002421,79.81828926951323,131.70476853576804
21,T0021,E1-006,E1,12,8,787.3946028347746,13:07,879.0635683437556,14:39,2937.388405,9.006755,66.0548965441108,0.0,42.934382674063926,8.525354705981048,96.85757132438758,148.31730870443255
22,T0022,E1-009,E1,13,8,834.1650037135203,13:54,940.3564547458848,15:40,2937.388405,9.006755,66.0548965441108,0.0,42.89491985005232,8.517518688518011,135.832905390009,187.2453439285793
23,T0023,F1-009,F1,55,46,575.3510717494449,09:35,835.144407454895,13:55,1659.91985,5.44331,130.3961910751898,400.0,285.7144096461848,62.156963323224865,0.0,747.8713729694097
24,T0024,F1-010,F1,56,46,575.3510717494449,09:35,835.144407454895,13:55,1659.91985,5.44331,130.3961910751898,400.0,285.7144096461848,62.156963323224865,0.0,747.8713729694097
25,T0025,F1-011,F1,89,59,558.9577470962598,09:19,853.9898116740837,14:14,2935.7956,7.748356666666667,164.154552852561,400.0,384.9856619780972,83.75335252139801,0.0,868.7390144994952
26,T0026,F1-012,F1,90,59,558.9577470962598,09:19,853.9898116740837,14:14,2935.7956,7.748356666666667,164.154552852561,400.0,384.9856619780972,83.75335252139801,0.0,868.7390144994952
27,T0027,F1-013,F1,91,59,558.9577470962598,09:19,853.9898116740837,14:14,2935.7956,7.748356666666667,164.154552852561,400.0,384.9856619780972,83.75335252139801,0.0,868.7390144994952
28,T0028,E1-002,E1,17,11,851.0599471688704,14:11,1038.0677617033066,17:18,1325.5301,4.36316,114.7663947643086,0.0,68.48942198387788,13.5997440664938,125.67342093615329,207.76258698652498
29,T0029,F1-003,F1,30->147->129,30->97->78,674.1425279316762,11:14,1336.9325979179714,22:17,2234.723,5.49789,127.58629079717947,0.0,282.4416487186603,61.444976548775045,118.94027142666712,462.8268966941025
30,T0030,F1-014,F1,118,70,480.0,08:00,900.4201238829876,15:00,2837.3255,8.182865,240.481206424296,400.0,561.8887748394251,122.23849687061895,0.0,1084.127271710044
31,T0031,E1-008,E1,5,6,858.6164298779064,14:19,993.1091715381938,16:33,2236.8216,5.991599999999999,81.2762683367306,0.0,50.91232347375464,10.109511060505,104.35914836040828,165.3809828946679
32,T0032,E1-010,E1,6,6,867.78515209098,14:28,1007.4320624529669,16:47,2236.8216,5.991599999999999,81.2762683367306,0.0,50.89466276957931,10.106004226166771,116.29489078938586,177.29555778513196
33,T0033,E2-001,E2,19,13,630.8358404401149,10:31,819.6457730274853,13:40,540.0867999999999,1.27918,82.8803749473312,400.0,49.67490091878737,9.8637996854897,0.0,459.5387006042771
34,T0034,F1-004,F1,96,61,674.1425279316762,11:14,897.4225143388865,14:57,2004.6885,6.13507,113.846992569318,0.0,254.83863905894756,55.439961746917305,0.0,310.27860080586487
35,T0035,F1-005,F1,97,61,674.1425279316762,11:14,897.4225143388865,14:57,2004.6885,6.13507,113.846992569318,0.0,254.83863905894756,55.439961746917305,0.0,310.27860080586487
36,T0036,F1-006,F1,98,61,674.1425279316762,11:14,897.4225143388865,14:57,2004.6885,6.13507,113.846992569318,0.0,254.83863905894756,55.439961746917305,0.0,310.27860080586487
